Farmer_ID,State,Land_Size,Income_Level,Crop,Irrigation,Soil_Type,Farmer_Type,Loan_Status,Weather_Risk,Farm_Experience,Recommended_Scheme
0,MP,Small,High,Maize,No,Black,Large,No,Medium,Low,Crop Insurance
1,UP,Large,High,Soybean,Yes,Clay,Small,No,High,Low,PMFBY
2,Bihar,Medium,Low,Soybean,No,Sandy,Medium,Yes,High,Medium,PMFBY
3,Punjab,Medium,High,Cotton,Yes,Clay,Small,Yes,High,High,Organic Farming
4,Bihar,Medium,Low,Wheat,Yes,Loamy,Marginal,No,Low,Low,Organic Farming
5,UP,Small,Medium,Cotton,Yes,Loamy,Marginal,Yes,High,Medium,Subsidy Scheme
6,MH,Small,Medium,Maize,No,Sandy,Medium,No,Low,Low,Crop Insurance
7,Bihar,Medium,Medium,Soybean,No,Sandy,Marginal,No,Low,Low,Crop Insurance
8,Punjab,Large,Medium,Maize,Yes,Clay,Marginal,Yes,High,High,Subsidy Scheme
9,MH,Large,High,Cotton,Yes,Loamy,Marginal,Yes,Medium,Low,Soil Health Card
10,Punjab,Small,Low,Wheat,No,Sandy,Medium,No,Low,High,PM-Kisan
11,MH,Small,Medium,Maize,Yes,Clay,Marginal,No,Low,Medium,Irrigation Subsidy
12,Punjab,Large,Low,Rice,No,Clay,Marginal,No,High,Medium,PMFBY
13,UP,Small,Medium,Soybean,No,Loamy,Marginal,No,Medium,Low,PMFBY
14,MP,Large,Medium,Wheat,Yes,Loamy,Marginal,Yes,High,Low,Subsidy Scheme
15,MH,Large,High,Cotton,Yes,Sandy,Small,Yes,High,Medium,KCC
16,Bihar,Medium,High,Wheat,No,Sandy,Marginal,Yes,High,Low,Crop Insurance
17,UP,Large,Low,Maize,Yes,Clay,Medium,Yes,Medium,Low,Subsidy Scheme
18,Punjab,Medium,High,Soybean,Yes,Black,Small,No,High,Medium,PMFBY
19,UP,Medium,Medium,Rice,Yes,Loamy,Small,Yes,Low,High,KCC
20,UP,Small,High,Wheat,Yes,Black,Small,Yes,High,Medium,KCC
21,Bihar,Medium,Low,Cotton,No,Loamy,Small,No,High,High,Crop Insurance
22,Punjab,Large,Low,Rice,No,Sandy,Marginal,Yes,High,High,PMFBY
23,MP,Large,High,Rice,Yes,Clay,Small,No,Low,Low,Farmer Training
24,Bihar,Small,Medium,Cotton,Yes,Sandy,Medium,Yes,High,High,KCC
25,Bihar,Medium,Low,Soybean,No,Clay,Small,No,High,High,Crop Insurance
26,MP,Medium,Medium,Wheat,No,Sandy,Small,No,High,High,PMFBY
27,UP,Large,Low,Maize,Yes,Clay,Large,No,Low,Low,Farm Mechanization
28,MP,Large,Medium,Rice,Yes,Black,Small,Yes,Medium,Low,KCC
29,MP,Small,Low,Wheat,No,Clay,Large,No,Medium,High,PM-Kisan
30,Punjab,Large,Medium,Soybean,No,Sandy,Large,No,High,Low,PMFBY
31,Bihar,Small,High,Maize,No,Black,Medium,Yes,Low,High,PMFBY
32,UP,Medium,Medium,Wheat,No,Black,Large,No,Low,Medium,Crop Insurance
33,UP,Small,Low,Soybean,No,Sandy,Marginal,Yes,Medium,High,Subsidy Scheme
34,Punjab,Medium,Low,Cotton,No,Black,Marginal,No,Low,High,PMFBY
35,MH,Small,Medium,Rice,Yes,Sandy,Small,Yes,Medium,Medium,Subsidy Scheme
36,Punjab,Small,Medium,Maize,No,Black,Medium,No,High,Low,PMFBY
37,MP,Medium,High,Soybean,Yes,Loamy,Marginal,No,Low,Medium,Soil Health Card
38,UP,Medium,Low,Soybean,No,Sandy,Medium,Yes,Low,Low,PMFBY
39,MH,Medium,High,Rice,No,Sandy,Marginal,No,High,Low,PMFBY
40,Punjab,Small,Medium,Wheat,No,Clay,Marginal,Yes,High,High,PMFBY
41,MH,Small,Low,Maize,No,Clay,Marginal,No,Medium,Medium,PM-Kisan
42,UP,Large,High,Maize,Yes,Loamy,Small,No,Medium,High,Soil Health Card
43,Punjab,Medium,Medium,Wheat,No,Clay,Medium,No,High,High,PMFBY
44,Punjab,Medium,Medium,Cotton,Yes,Loamy,Large,Yes,High,Low,KCC
45,MP,Small,Medium,Maize,Yes,Sandy,Large,Yes,High,Medium,KCC
46,MP,Large,Medium,Soybean,Yes,Clay,Small,Yes,Low,Low,KCC
47,MP,Small,Low,Maize,Yes,Clay,Small,Yes,High,High,PM-Kisan
48,MP,Large,High,Cotton,No,Sandy,Medium,Yes,High,Low,PMFBY
49,MH,Small,High,Maize,Yes,Sandy,Marginal,Yes,Medium,Low,KCC
50,Bihar,Small,High,Rice,No,Loamy,Large,No,Medium,High,Crop Insurance
51,MP,Small,Low,Soybean,No,Clay,Marginal,No,High,Low,PM-Kisan
52,MP,Large,Medium,Soybean,No,Clay,Large,No,Medium,Medium,PMFBY
53,MH,Medium,High,Maize,No,Black,Marginal,Yes,Low,Medium,PMFBY
54,Punjab,Small,High,Rice,No,Clay,Marginal,Yes,Medium,High,PMFBY
55,UP,Large,Medium,Soybean,No,Black,Large,No,Medium,Low,PMFBY
56,Punjab,Small,Low,Wheat,No,Black,Small,Yes,Low,High,Subsidy Scheme
57,MP,Medium,Medium,Maize,Yes,Sandy,Small,No,Medium,Low,Soil Health Card
58,MH,Medium,High,Maize,No,Black,Marginal,No,Low,High,PMFBY
59,Bihar,Small,Medium,Rice,No,Clay,Medium,No,Low,Medium,PMFBY
60,MH,Small,Low,Rice,No,Loamy,Marginal,No,High,Low,Subsidy Scheme
61,Bihar,Medium,Medium,Maize,Yes,Sandy,Medium,No,Medium,Low,Soil Health Card
62,MP,Small,Medium,Wheat,Yes,Black,Marginal,No,High,Low,PMFBY
63,MP,Large,Low,Rice,Yes,Loamy,Marginal,Yes,Low,Low,KCC
64,UP,Small,Medium,Wheat,Yes,Clay,Medium,No,Low,Medium,Farm Mechanization
65,MH,Small,Medium,Maize,Yes,Black,Small,No,Low,Medium,Irrigation Subsidy
66,MH,Medium,High,Maize,Yes,Loamy,Large,No,Low,High,Organic Farming
67,Punjab,Medium,Low,Rice,No,Sandy,Medium,Yes,Low,Low,PMFBY
68,Bihar,Small,Medium,Rice,Yes,Sandy,Small,No,High,High,Soil Health Card
69,Bihar,Small,High,Soybean,No,Sandy,Large,Yes,Medium,Medium,PMFBY
70,UP,Small,Medium,Rice,Yes,Sandy,Marginal,No,Medium,High,Soil Health Card
71,MH,Medium,Medium,Maize,No,Loamy,Large,No,Low,Low,PMFBY
72,UP,Small,Medium,Soybean,Yes,Sandy,Marginal,No,Medium,Medium,Soil Health Card
73,Punjab,Small,Low,Rice,Yes,Clay,Small,Yes,Medium,Medium,PM-Kisan
74,MP,Large,Medium,Maize,Yes,Sandy,Small,Yes,Low,Low,KCC
75,UP,Medium,Medium,Soybean,Yes,Loamy,Marginal,No,Medium,Low,Crop Insurance
76,Punjab,Small,Low,Cotton,No,Clay,Large,Yes,High,Low,PM-Kisan
77,MP,Large,Low,Cotton,No,Sandy,Marginal,No,Low,Low,PMFBY
78,UP,Large,High,Soybean,Yes,Loamy,Medium,No,Low,Medium,Organic Farming
79,Punjab,Small,High,Maize,Yes,Black,Small,Yes,Medium,High,KCC
80,Punjab,Small,Medium,Rice,No,Sandy,Marginal,No,High,Low,Crop Insurance
81,Punjab,Small,Medium,Wheat,Yes,Clay,Large,No,Low,Low,Farm Mechanization
82,Bihar,Small,High,Rice,No,Black,Medium,No,Medium,Medium,PMFBY
83,MP,Large,Low,Cotton,Yes,Clay,Large,No,Low,Medium,Irrigation Subsidy
84,Bihar,Small,Low,Wheat,Yes,Sandy,Small,No,Low,Low,PM-Kisan
85,Bihar,Small,High,Soybean,No,Black,Large,Yes,Low,High,PMFBY
86,MH,Large,High,Rice,No,Sandy,Small,Yes,Medium,Low,PMFBY
87,MH,Small,Low,Soybean,No,Clay,Small,Yes,High,Medium,PM-Kisan
88,Punjab,Medium,High,Wheat,Yes,Loamy,Medium,Yes,High,Low,KCC
89,Punjab,Medium,High,Cotton,No,Loamy,Large,No,Medium,High,Crop Insurance
90,Punjab,Medium,Medium,Rice,No,Clay,Small,Yes,High,Medium,PMFBY
